orden,id,nombre_original,nombre_alternativo,ruta_relativa,distancia_km,puntos,elevacion,elevacion_min_m,elevacion_max_m,es_circuito,estado_revision,observaciones_automaticas,sha256_geometria
1,gilles-001-aire-a-meztitla,Aire-a Meztitla,,gilles-001-aire-a-meztitla/ruta.gpx,2.380,37,ausente,,,no,pendiente,sin-elevacion,64313a0eb7bfa10790210945f06d7913e677f5fa416226114af7b146df81819c
2,gilles-002-aire-a-sd,Aire-a SD,,gilles-002-aire-a-sd/ruta.gpx,1.489,17,ausente,,,no,pendiente,tramo-corto|sin-elevacion,dd12eada5f582e3674b5598ef88f2d1b194df8713a3159619bd90ad252744e51
3,gilles-003-aire-conexion-1,Aire-conexión-1,,gilles-003-aire-conexion-1/ruta.gpx,0.797,25,ausente,,,no,pendiente,tramo-corto|posible-conector|nombre-con-sufijo-numerico|sin-elevacion,1695989b3c4ba56e180c5e43c69573b65c96e77666fcc0c0f8da6879d9bd2b23
4,gilles-004-aire-conexion-2,Aire-conexión-2,,gilles-004-aire-conexion-2/ruta.gpx,0.735,40,ausente,,,no,pendiente,tramo-corto|posible-conector|nombre-con-sufijo-numerico|sin-elevacion,eca4289060cf19f5d994c69dc50ec68409a74ef1a5740763d6f7c1823f300f12
5,gilles-005-aire-conexion-3,Aire-conexión-3,,gilles-005-aire-conexion-3/ruta.gpx,0.124,10,ausente,,,no,pendiente,tramo-muy-corto|posible-conector|nombre-con-sufijo-numerico|sin-elevacion,4eaddba049ec3c7c00a8a252444a00ef7ffc3f7e54cde7ac50a75c47b517c553
6,gilles-006-aire-cumbre,Aire-cumbre,Aire-cumbre 1,gilles-006-aire-cumbre/ruta.gpx,0.307,23,ausente,,,no,pendiente,tramo-muy-corto|sin-elevacion|nombre-difiere-entre-fuentes,0906737c389b8708ab12bb5d41da5c7b64ef635d689cd08a93fde6d0166f8d78
7,gilles-007-aire-cumbre-1,Aire-cumbre-1,,gilles-007-aire-cumbre-1/ruta.gpx,0.225,15,ausente,,,no,pendiente,tramo-muy-corto|nombre-con-sufijo-numerico|sin-elevacion,c4aa9eefaa7fc9d1b5380f53148514e3b5db8b134a252a68dfd213c265a29ec7
8,gilles-008-aire-cumbre-2,Aire-cumbre-2,,gilles-008-aire-cumbre-2/ruta.gpx,0.108,8,ausente,,,no,pendiente,tramo-muy-corto|nombre-con-sufijo-numerico|sin-elevacion,32a88d714de4545aac5ce5832363bdf2c9809a0a9fe6846c531bd0b3c2af84bd
9,gilles-009-aire-cumbre-3,Aire-cumbre-3,,gilles-009-aire-cumbre-3/ruta.gpx,0.106,11,ausente,,,no,pendiente,tramo-muy-corto|nombre-con-sufijo-numerico|sin-elevacion,baca09bbf2ac8276e8d60e69a6515e1c2a7e336ea07395f0bb3e7c5b8177289f
10,gilles-010-aire-los-miradores,Aire-los miradores,,gilles-010-aire-los-miradores/ruta.gpx,0.570,27,ausente,,,no,pendiente,tramo-corto|sin-elevacion,76c875080b62de6929a777384448768373012fa20ac3d53ada303621bffe93c2
11,gilles-011-aire-los-ocotes,Aire-los ocotes,,gilles-011-aire-los-ocotes/ruta.gpx,0.623,27,ausente,,,no,pendiente,tramo-corto|sin-elevacion,a300c4e767b96fc2f121b99659ffabd1d20a37c3712abca0950252cb5e26128d
12,gilles-012-aire-mirador-de-la-cumbre,Aire-mirador de la cumbre,,gilles-012-aire-mirador-de-la-cumbre/ruta.gpx,0.153,15,ausente,,,no,pendiente,tramo-muy-corto|sin-elevacion,98d25a320c10355bc9d0771a58094e3afac90837c3f40d59c37a2797cdae4491
13,gilles-013-aire-por-el-coral,Aire-por el coral,,gilles-013-aire-por-el-coral/ruta.gpx,1.206,58,ausente,,,no,pendiente,tramo-corto|sin-elevacion,e440ce403e7bf05c8f396ad194f9ddd21befc702bd8eabe2942399b98d70236b
14,gilles-014-aire-por-el-hoyo-de-agua,Aire-por el hoyo de agua,,gilles-014-aire-por-el-hoyo-de-agua/ruta.gpx,1.726,26,ausente,,,no,pendiente,tramo-corto|sin-elevacion,500d4f1815d1076c9a9c5a6e38678c7d0aeec9c7e7c763d9ad5a35972af9785f
15,gilles-015-aire-por-el-salto-del-aire,Aire-por el salto del Aire,,gilles-015-aire-por-el-salto-del-aire/ruta.gpx,0.993,16,ausente,,,no,pendiente,tramo-corto|sin-elevacion,78c753d4de0698bb5f17a2a40c98ccadd76104b42461b2aab036494511e3d225
16,gilles-016-aire-por-la-canada,Aire-por la cañada,,gilles-016-aire-por-la-canada/ruta.gpx,0.489,23,ausente,,,no,pendiente,tramo-muy-corto|sin-elevacion,afa9f67c31645636f7137f0bc1e72fbcf342d12bb1b3caa62bf7a166928dfc94
17,gilles-017-aire-salto-del-aire,Aire-salto del Aire,,gilles-017-aire-salto-del-aire/ruta.gpx,0.287,18,ausente,,,no,pendiente,tramo-muy-corto|sin-elevacion,d5e5a3c03e5c59fdbfa2861ee19d402fdc3f4f5cdfc213a9998c76944c3d7774
18,gilles-018-aire-vuelta,Aire-vuelta,,gilles-018-aire-vuelta/ruta.gpx,1.683,36,ausente,,,si,pendiente,tramo-corto|sin-elevacion|circuito-cerrado,526a49f147d5489367a47d396b8bee636f7a4103c6b4004292fdab4d5d037609
19,gilles-019-aire-vuelta-por-abajo,Aire-vuelta por abajo,,gilles-019-aire-vuelta-por-abajo/ruta.gpx,1.263,58,ausente,,,no,pendiente,tramo-corto|sin-elevacion,1a7c8bb1491fce921f9285ba3d5cf627ef1e70b94bd640cf9b3ef242149f1f04
20,gilles-020-ame-alg2,AME-alG2,,gilles-020-ame-alg2/ruta.gpx,1.264,47,ausente,,,no,pendiente,tramo-corto|nombre-con-sufijo-numerico|sin-elevacion,58640e47ad2cf671084ea9aee45fa5e9610334dd891bc4c5ed5e01e5e4880c50
21,gilles-021-amn-conexion-1,AMN-conexión-1,,gilles-021-amn-conexion-1/ruta.gpx,1.186,48,ausente,,,no,pendiente,tramo-corto|posible-conector|nombre-con-sufijo-numerico|sin-elevacion,ee1d084a30dc6ba257076d4a03c610de95b137589c03aa4fe4ec3a7ee5842d2a
22,gilles-022-amn-mojonera-amatlan,AMN-mojonera-Amatlán,,gilles-022-amn-mojonera-amatlan/ruta.gpx,3.335,160,ausente,,,no,pendiente,sin-elevacion,18778558b9555d1ef30b417e1cbf5330e8494b9c17e43710592e8be2b907cc14
23,gilles-023-amn-nopaleras-1,AMN-nopaleras-1,,gilles-023-amn-nopaleras-1/ruta.gpx,2.405,89,ausente,,,no,pendiente,nombre-con-sufijo-numerico|sin-elevacion,d61061a185113d5f5d3bdc7b9205f6fdf67d104ffab41fbf2a26c339c945575a
24,gilles-024-amn-nopaleras-2,AMN-nopaleras-2,,gilles-024-amn-nopaleras-2/ruta.gpx,1.417,36,ausente,,,no,pendiente,tramo-corto|nombre-con-sufijo-numerico|sin-elevacion,6ea5efe022477f802d2a03e1ea023ec2b51a20f6d082fd5a25e4a48d4f9ad421
25,gilles-025-amn-nopaleras-3,AMN-nopaleras-3,,gilles-025-amn-nopaleras-3/ruta.gpx,3.224,91,ausente,,,no,pendiente,nombre-con-sufijo-numerico|sin-elevacion,a681c514a6195c5b4321cbb45b7888f3fb3a57b37cb0428b254000da12ef1a71
